-3.141593 1.000000
-3.041593 0.880233
-2.941593 0.722392
-2.841593 0.529815
-2.741593 0.307288
-2.641593 0.060877
-2.541593 -0.202285
-2.441593 -0.474251
-2.341593 -0.746556
-2.241593 -1.010529
-2.141593 -1.257618
-2.041593 -1.479708
-1.941593 -1.669433
-1.841593 -1.820447
-1.741593 -1.927672
-1.641593 -1.987487
-1.541593 -1.997868
-1.441593 -1.958463
-1.341593 -1.870606
-1.241593 -1.737268
-1.141593 -1.562941
-1.041593 -1.353470
-0.941593 -1.115829
-0.841593 -0.857858
-0.741593 -0.587964
-0.641593 -0.314810
-0.541593 -0.046985
-0.441593 0.207313
-0.341593 0.440578
-0.241593 0.646270
-0.141593 0.819050
-0.041593 0.954961
0.058407 1.051559
0.158407 1.107978
0.258407 1.124939
0.358407 1.104685
0.458407 1.050872
0.558407 0.968383
0.658407 0.863118
0.758407 0.741722
0.858407 0.611302
0.958407 0.479122
1.058407 0.352287
1.158407 0.237446
1.258407 0.140509
1.358407 0.066400
1.458407 0.018847
1.558407 0.000230
1.658407 0.011477
1.758407 0.052026
1.858407 0.119853
1.958407 0.211549
2.058407 0.322470
2.158407 0.446929
2.258407 0.578435
2.358407 0.709966
2.458407 0.834272
2.558407 0.944176
2.658407 1.032892
2.758407 1.094309
2.858407 1.123269
2.958407 1.115796
3.058407 1.069282
